DEPTH,A,B
3300.0696,42.44511,87.34742
3300.222,36.37567,86.73587
3300.3744,39.5008,83.84484
3300.5268,42.89411,81.60002
3300.6792,51.7215,76.05421
3300.8316,46.86629,75.9191
3300.984,54.27995,72.96595
3301.1364,84.33162,70.0128
3301.2888,103.8422,67.05966
3301.4412,129.0933,64.10654
3301.5936,135.1893,61.1534
3301.746,122.2676,58.20025
3301.8984,105.9106,55.2471
3302.0508,98.69178,54.48029
3302.2032,99.54134,54.98693
3302.3556,94.96846,55.39444
3302.508,87.57814,54.76884
3302.6604,71.58437,54.9074
3302.8128,61.25327,74.08758
3302.9652,61.00344,93.26773
3303.1176,61.02557,97.38845
3303.27,56.2183,102.79721
3303.4224,50.97796,101.89708
3303.5748,43.81922,102.76003
3303.7272,51.22649,101.17589
3303.8796,65.41368,101.59368
3304.032,79.33452,102.34654
3304.1844,92.11993,103.96655
3304.3368,110.1766,103.78056
3304.4892,132.4505,103.94052
3304.6416,160.0882,102.58361
3304.794,194.3549,102.74838
3304.9464,234.3563,102.59598
3305.0988,275.0526,102.44541
3305.2512,305.329,102.9337
3305.4036,303.2722,103.10811
3305.556,266.7583,103.61082
3305.7084,220.1001,102.9487
3305.8608,177.5421,103.2595
3306.0132,148.2801,104.45219
3306.1656,126.2193,105.24735
3306.318,109.3034,107.79718
3306.4704,96.31331,108.84691
3306.6228,87.22218,109.54722
3306.7752,86.27852,109.95489
3306.9276,76.46635,109.42018
3307.08,68.30478,109.22868
3307.2324,63.61667,108.36119
3307.3848,60.60924,83.38977
3307.5372,58.72797,85.82436
3307.6896,43.03259,89.85943
3307.842,46.56702,88.05986
3307.9944,36.11688,85.94583
3308.1468,28.30918,83.46088
3308.2992,30.9729,82.86592
3308.4516,26.37577,78.90647
3308.604,49.28606,78.74517
3308.7564,15.32701,80.5494
3308.9088,27.2137,79.88485
3309.0612,26.99093,77.87674
3309.2136,18.57734,76.94807
3309.366,26.82906,76.03684
3309.5184,20.90922,75.74554
3309.6708,19.52463,74.78753
3309.8232,27.09677,73.41513
3309.9756,36.96987,72.60598
3310.128,31.76331,71.42068
3310.2804,37.06672,70.29913
3310.4328,41.08242,67.85634
3310.5852,37.44974,66.27376
3310.7376,34.52765,65.31072
3310.89,33.12538,66.32305
3311.0424,46.6032,65.82101
3311.1948,46.61351,68.80808
3311.3472,34.2542,70.81595
3311.4996,38.46812,71.94289
3311.652,48.96111,73.36259
3311.8044,51.59308,74.37778
3311.9568,43.80636,55.83403
3312.1092,44.60475,55.94412
3312.2616,65.59405,55.86597
3312.414,82.20129,55.85024
3312.5664,87.81972,55.99313
3312.7188,78.80798,55.50277
3312.8712,71.93019,55.56678
3313.0236,70.06927,55.70418
3313.176,64.45776,55.89121
3313.3284,60.66807,55.12415
3313.4808,50.6178,55.32647
3313.6332,56.23804,54.70474
3313.7856,58.46435,54.82032
3313.938,64.54544,54.7657
3314.0904,66.98754,55.31053
3314.2428,64.62719,55.47881
3314.3952,64.20777,56.41339
3314.5476,63.12769,55.17264
3314.7,66.22549,56.32076
3314.8524,67.91879,56.21125
3315.0048,70.95031,54.36489
3315.1572,68.27687,68.89416
3315.3096,65.36303,68.85261
3315.462,67.9669,70.03048
3315.6144,57.18988,74.11529
3315.7668,51.36327,75.45818
3315.9192,62.27582,75.98405
3316.0716,51.04325,75.80629
3316.224,35.91031,77.58148
3316.3764,34.25845,78.27355
3316.5288,43.48559,80.52697
3316.6812,47.07419,81.63172
3316.8336,52.6945,83.46695
3316.986,44.47474,84.66079
3317.1384,52.12718,86.1989
3317.2908,40.81427,87.57123
3317.4432,51.41939,87.12223
3317.5956,62.43621,86.16909
3317.748,65.95238,85.1514
3317.9004,61.34755,85.13216
3318.0528,55.42491,84.25443
3318.2052,60.2453,82.41618
3318.3576,54.79005,80.76728
3318.51,45.62486,80.47915
3318.6624,41.61396,82.00044
3318.8148,47.37943,83.21122
3318.9672,48.32887,71.36484
3319.1196,37.75075,75.17471
3319.272,30.58394,72.7624
3319.4244,26.97429,76.14678
3319.5768,15.2562,98.49804
3319.7292,17.94017,98.48932
3319.8816,18.87264,98.77276
3320.034,18.67682,99.35355
3320.1864,11.9966,99.91695
3320.3388,11.84101,99.45167
3320.4912,13.70657,99.12261
3320.6436,25.38835,98.68891
3320.796,11.27926,98.42727
3320.9484,20.04625,100.33818
3321.1008,7.62767,100.67123
3321.2532,7.53759,101.51209
3321.4056,7.37098,101.96703
3321.558,4.94109,102.44566
3321.7104,4.79889,101.12112
3321.8628,4.71336,99.90555
3322.0152,9.25992,100.01872
3322.1676,10.48066,100.12192
3322.32,21.90084,99.14352
3322.4724,15.40565,98.02959
3322.6248,29.9828,97.76344
3322.7772,50.91886,97.51847
3322.9296,45.78446,97.77777
3323.082,65.40421,96.62501
3323.2344,65.08563,56.59981
3323.3868,73.0153,56.61971
3323.5392,55.78407,56.70713
3323.6916,29.99384,56.08012
3323.844,21.93334,56.90951
3323.9964,21.92678,57.17838
3324.1488,20.39496,57.21568
3324.3012,25.15485,57.05073
3324.4536,40.62508,57.25016
3324.606,48.75188,56.20463
3324.7584,42.22743,57.69678
3324.9108,46.31751,57.76033
3325.0632,72.19872,57.78152
3325.2156,98.32178,57.12491
3325.368,127.0058,57.70373
3325.5204,130.5425,57.63722
3325.6728,100.1044,57.2964
3325.8252,74.9506,57.1183
3325.9776,50.53892,57.36427
3326.13,45.42498,57.30917
3326.2824,39.79963,57.23022
3326.4348,35.70786,58.02853
3326.5872,42.69327,57.19023
3326.7396,35.83216,57.42191
3326.892,33.42385,57.60208
3327.0444,34.4758,57.78295
3327.1968,44.51399,57.63268
3327.3492,43.0822,57.48056
3327.5016,40.99123,57.42554
3327.654,52.40883,59.68392
3327.8064,38.05233,67.24254
3327.9588,23.42425,68.68662
3328.1112,22.98589,71.29699
3328.2636,23.83629,72.20087
3328.416,33.90953,72.98332
3328.5684,36.57698,74.1778
3328.7208,25.64398,76.32146
3328.8732,23.82355,78.35411
3329.0256,33.79149,79.80356
3329.178,35.3273,81.06095
3329.3304,37.17127,82.25171
3329.4828,32.68977,83.38627
3329.6352,46.98719,83.62282
3329.7876,49.55343,83.14014
3329.94,47.55455,84.27339
3330.0924,40.07369,85.32653
3330.2448,42.29351,86.14834
3330.3972,52.30057,86.5023
3330.5496,61.6716,86.00484
3330.702,51.90938,85.82159
3330.8544,43.60673,84.68862
3331.0068,34.33477,83.55565
3331.1592,37.50821,82.42267
3331.3116,30.19103,79.73952
3331.464,23.7668,79.89902
3331.6164,26.6972,77.30917
3331.7688,21.81237,77.04515
3331.9212,19.02077,76.3513
3332.0736,16.544,74.98315
3332.226,13.00273,74.27635
3332.3784,14.07629,74.10261
3332.5308,14.30714,73.80503
3332.6832,12.72312,73.5989
3332.8356,14.9124,72.36949
3332.988,14.29086,70.70208
3333.1404,14.87269,70.0762
3333.2928,20.14573,69.60462
3333.4452,17.6454,69.29335
3333.5976,20.60924,69.54046
3333.75,24.68568,71.38248
3333.9024,30.7058,72.22629
3334.0548,44.63908,73.67101
3334.2072,42.74913,75.08739
3334.3596,70.51533,77.39561
3334.512,78.30355,83.93293
3334.6644,83.11172,86.51443
3334.8168,78.90943,87.23266
3334.9692,89.08654,91.04346
3335.1216,99.81049,89.77573
3335.274,101.8415,86.68942
3335.4264,88.93481,86.0771
3335.5788,72.86773,85.73241
3335.7312,53.48046,84.26327
3335.8836,32.23962,82.53512
3336.036,38.61468,79.7853
3336.1884,27.84277,79.12748
3336.3408,22.37116,78.89129
3336.4932,22.79438,75.21696
3336.6456,14.9235,72.54499
3336.798,24.48168,71.42958
3336.9504,29.64824,71.07985
3337.1028,47.88944,71.06997
3337.2552,49.67545,70.68723
3337.4076,47.27452,68.56458
3337.56,48.28333,67.61628
3337.7124,38.44737,68.09357
3337.8648,28.15698,67.88752
3338.0172,35.92049,68.03813
3338.1696,32.41148,68.8606
3338.322,33.72191,69.11986
3338.4744,44.29498,69.52397
3338.6268,38.14474,69.84379
3338.7792,36.69476,69.88497
3338.9316,47.34302,70.10534
3339.084,77.82965,70.29307
3339.2364,113.7046,70.06654
3339.3888,176.1652,69.82724
3339.5412,220.1482,69.20575
3339.6936,178.589,68.30449
3339.846,115.0631,68.23466
3339.9984,73.37868,67.94803
3340.1508,54.84756,68.0933
3340.3032,53.56025,68.15237
3340.4556,38.53183,67.31371
3340.608,50.39837,66.89421
3340.7604,46.69062,67.17621
3340.9128,28.47893,67.14086
3341.0652,18.24395,67.93632
3341.2176,21.20763,67.96897
3341.37,29.24263,71.96419
3341.5224,25.39073,71.96907
3341.6748,25.76542,71.92777
3341.8272,33.55043,72.12223
3341.9796,34.84279,73.60594
3342.132,34.55603,77.32169
3342.2844,40.92005,78.75057
3342.4368,63.81767,77.97735
3342.5892,89.78588,76.28891
3342.7416,120.4115,75.66959
3342.894,187.0104,75.56474
3343.0464,301.929,75.77776
3343.1988,506.0703,74.06914
3343.3512,843.9069,73.43958
3343.5036,1135.973,72.98674
3343.656,614.4611,73.74374
3343.8084,187.9678,73.76602
3343.9608,85.16531,73.88895
3344.1132,62.17363,73.76946
3344.2656,13.16712,76.07287
3344.418,7.37758,74.69627
3344.5704,7.54891,78.43638
3344.7228,6.53274,80.91443
3344.8752,3.29908,85.46394
3345.0276,6.19997,81.4471
3345.18,6.56563,83.75739
3345.3324,4.91475,85.10781
3345.4848,5.93741,86.55832
3345.6372,6.64325,84.17531
3345.7896,6.64716,86.70387
3345.942,4.72735,83.51855
3346.0944,6.36239,81.51498
3346.2468,6.33246,81.1267
3346.3992,3.99497,79.4196
3346.5516,10.23709,76.30686
3346.704,17.62321,75.98292
3346.8564,37.73867,75.12829
3347.0088,169.5483,73.71777
3347.1612,98.18838,69.95898
3347.3136,51.83209,68.85094
3347.466,44.02984,68.0203
3347.6184,37.64684,68.04593
3347.7708,49.31435,67.78993
3347.9232,25.26337,68.22689
3348.0756,18.05801,65.59019
3348.228,12.44613,69.67597
3348.3804,13.222,73.15252
3348.5328,14.17224,75.06133
3348.6852,13.68042,75.95
3348.8376,12.70881,76.46082
3348.99,12.86479,76.74001
3349.1424,13.35902,76.97977
3349.2948,16.47306,75.96268
3349.4472,13.80579,74.62857
3349.5996,11.68073,72.64173
