DEPTH,A,B,C_predicted
3300.0696,42.44511,87.34742,108.15084399448634
3300.222,36.37567,86.73587,105.59592603691026
3300.3744,39.5008,83.84484,104.4477513778352
3300.5268,42.89411,81.60002,103.53801340291926
3300.6792,51.7215,76.05421,99.83095230193022
3300.8316,46.86629,75.9191,98.39461521538625
3300.984,54.27995,72.96595,96.11967998987278
3301.1364,84.33162,70.0128,96.68952934696757
3301.2888,103.8422,67.05966,93.28600321714565
3301.4412,129.0933,64.10654,88.78813743420172
3301.5936,135.1893,61.1534,81.02545274423679
3301.746,122.2676,58.20025,70.68934193510123
3301.8984,105.9106,55.2471,59.26694592979935
3302.0508,98.69178,54.48029,55.977778549056595
3302.2032,99.54134,54.98693,57.859893117975574
3302.3556,94.96846,55.39444,58.9402192667618
3302.508,87.57814,54.76884,56.127341050221276
3302.6604,71.58437,54.9074,55.14021318743213
3302.8128,61.25327,74.08758,99.32028166980892
3302.9652,61.00344,93.26773,117.20749592492324
3303.1176,61.02557,97.38845,119.32914614997136
3303.27,56.2183,102.79721,120.27657554511615
3303.4224,50.97796,101.89708,118.4335144636947
3303.5748,43.81922,102.76003,116.45137749453905
3303.7272,51.22649,101.17589,118.23558430741191
3303.8796,65.41368,101.59368,122.21329311097915
3304.032,79.33452,102.34654,125.62760031587568
3304.1844,92.11993,103.96655,128.72878435526988
3304.3368,110.1766,103.78056,131.72751073096495
3304.4892,132.4505,103.94052,135.03275372301022
3304.6416,160.0882,102.58361,137.91678321414457
3304.794,194.3549,102.74838,141.59205471845064
3304.9464,234.3563,102.59598,145.10589166466863
3305.0988,275.0526,102.44541,148.18035313993093
3305.2512,305.329,102.9337,150.4914929257079
3305.4036,303.2722,103.10811,150.43310843866772
3305.556,266.7583,103.61082,148.08630771939602
3305.7084,220.1001,102.9487,144.04737395671157
3305.8608,177.5421,103.2595,140.10968901564084
3306.0132,148.2801,104.45219,137.26516695915544
3306.1656,126.2193,105.24735,134.6603717858126
3306.318,109.3034,107.79718,132.98174966990746
3306.4704,96.31331,108.84691,131.1053606258697
3306.6228,87.22218,109.54722,129.6124573028367
3306.7752,86.27852,109.95489,129.54316553809548
3306.9276,76.46635,109.42018,127.36101655551484
3307.08,68.30478,109.22868,125.44344140843866
3307.2324,63.61667,108.36119,124.04043970713887
3307.3848,60.60924,83.38977,109.97792471077811
3307.5372,58.72797,85.82436,111.60770484190941
3307.6896,43.03259,89.85943,110.03716016485012
3307.842,46.56702,88.05986,109.95670653168906
3307.9944,36.11688,85.94583,104.91794021184232
3308.1468,28.30918,83.46088,99.7925417440053
3308.2992,30.9729,82.86592,100.43474268977731
3308.4516,26.37577,78.90647,94.73409896916687
3308.604,49.28606,78.74517,102.43457839844375
3308.7564,15.32701,80.5494,90.06227289348509
3308.9088,27.2137,79.88485,96.09071389093705
3309.0612,26.99093,77.87674,93.92432792389285
3309.2136,18.57734,76.94807,88.65413832868047
3309.366,26.82906,76.03684,91.76795284805279
3309.5184,20.90922,75.74554,88.60412719349846
3309.6708,19.52463,74.78753,86.71599930491975
3309.8232,27.09677,73.41513,88.55184753035357
3309.9756,36.96987,72.60598,90.95529154475842
3310.128,31.76331,71.42068,87.44961767267866
3310.2804,37.06672,70.29913,87.38939910592434
3310.4328,41.08242,67.85634,84.20729545949942
3310.5852,37.44974,66.27376,80.14755210350911
3310.7376,34.52765,65.31072,77.35768027314671
3310.89,33.12538,66.32305,78.99864434577026
3311.0424,46.6032,65.82101,81.48528639430472
3311.1948,46.61351,68.80808,87.37077981021568
3311.3472,34.2542,70.81595,87.34625312322315
3311.4996,38.46812,71.94289,90.42298062271838
3311.652,48.96111,73.36259,95.43310746846626
3311.8044,51.59308,74.37778,97.54326232581552
3311.9568,43.80636,55.83403,54.677361265103606
3312.1092,44.60475,55.94412,55.149789014623565
3312.2616,65.59405,55.86597,57.718569730737514
3312.414,82.20129,55.85024,59.39265194889684
3312.5664,87.81972,55.99313,60.398523264778625
3312.7188,78.80798,55.50277,57.88570112100261
3312.8712,71.93019,55.56678,57.414280257596765
3313.0236,70.06927,55.70418,57.678133275786216
3313.176,64.45776,55.89121,57.67033527625643
3313.3284,60.66807,55.12415,54.68821772212417
3313.4808,50.6178,55.32647,54.07527248578215
